[2026-02-06 23:50:50,845] INFO - 🚀 Starting preprocessing...
[2026-02-06 23:51:50,585] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-02-06 23:51:50,599] INFO - 🧹 Cleaning text...
[2026-02-06 23:51:51,312] INFO - ✅ Text cleaned.
[2026-02-06 23:51:51,312] INFO - 🔠 Vectorizing using TF-IDF...
[2026-02-06 23:51:51,427] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2026-02-06 23:51:51,441] INFO - 📐 Calculating cosine similarity...
[2026-02-06 23:51:51,526] INFO - ✅ Cosine similarity matrix generated.
[2026-02-06 23:51:51,707] INFO - 💾 Data saved to disk.
[2026-02-06 23:51:51,707] INFO - ✅ Preprocessing complete.
[2026-02-07 08:50:47,444] INFO - 🚀 Starting preprocessing...
[2026-02-07 08:50:48,976] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-02-07 08:50:48,990] INFO - 🧹 Cleaning text...
[2026-02-07 08:50:50,091] INFO - ✅ Text cleaned.
[2026-02-07 08:50:50,094] INFO - 🔠 Vectorizing using TF-IDF...
[2026-02-07 08:50:50,355] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2026-02-07 08:50:50,355] INFO - 📐 Calculating cosine similarity...
[2026-02-07 08:50:50,462] INFO - ✅ Cosine similarity matrix generated.
[2026-02-07 08:50:51,304] INFO - 💾 Data saved to disk.
[2026-02-07 08:50:51,307] INFO - ✅ Preprocessing complete.
[2026-02-11 17:03:01,113] INFO - 🚀 Starting preprocessing...
[2026-02-11 17:03:02,448] INFO - ✅ Dataset loaded successfully. Total rows: 4803
[2026-02-11 17:03:02,480] INFO - 🧹 Cleaning text...
[2026-02-11 17:03:04,154] INFO - ✅ Text cleaned.
[2026-02-11 17:03:04,155] INFO - 🔠 Vectorizing using TF-IDF...
[2026-02-11 17:03:04,399] INFO - ✅ TF-IDF matrix shape: (4387, 5000)
[2026-02-11 17:03:04,405] INFO - 📐 Calculating cosine similarity...
[2026-02-11 17:03:04,514] INFO - ✅ Cosine similarity matrix generated.
[2026-02-11 17:03:05,053] INFO - 💾 Data saved to disk.
[2026-02-11 17:03:05,054] INFO - ✅ Preprocessing complete.
